Jahr	Stadt Basel	Klybeck	Kleinhüningen
2011	32.571028800000	6.849315000000	12.804878000000
2012	32.566019400000	6.849315000000	12.804878000000
2013	33.347547974413	7.621247113163	15.950920245398
2014	33.322710856171	7.373271889400	15.662650602409
2015	33.488717025108	7.356321839080	15.662650602409
2016	33.372148414756	7.339449541284	15.568862275449
2017	33.301597376494	7.126436781609	15.568862275449
2018	33.261213720316	7.093821510297	15.662650602409
2019	33.210234766500	7.077625570700	15.568862275400
2020	33.148821761821	7.142857142857	15.294117647058
2021	33.066596472755	7.159353348729	15.294117647058
2022	32.976040353089	7.110091743119	15.294117647058
2023	32.878867330886	7.093821510297	15.294117647058
2024	32.863357618323	6.849315068493	15.384615384615
