Jahr	Stimme sehr zu	Stimme eher zu	Stimme eher nicht zu	Stimme überhaupt nicht zu	Weiss nicht	Keine Angabe
2003	339	682	322	89	65	0
2005	351	713	314	78	54	0
2007	295	746	303	81	84	0
2011	391	705	302	79	36	3
2015	355	788	258	54	50	1
2019	1053	709	161	27	83	75
