Jahr	Haushalte in Begegnungszonen	Haushalte in der Stadt Basel
2011	100	100
2012	100.397878	101.0694942
2013	101.0462717	101.6248526
2014	101.6357206	101.3637769
2015	101.8567639	101.066059
2016	102.4756852	101.3282798
2017	108.3949750	101.0763646
2018	112.0979430	101.4336261
2019	117.0841541	102.3909036
2020	121.0953347	102.6554145
2021	128.2092147	103.1077166
2022	134.1205448	103.8657521

