JAHR	Messe	Erlenmatt
2004	25.62	9.70
2005	25.42	11.72
2006	24.49	11.49
2007	25.06	7.74
2008	24.49	6.47
2009	24.91	4.53
2010	24.57	3.23
2011	24.21	4.62
2012	24.83	6.08
2013	24.89	6.72
2014	25.21	6.91
2015	26.54	2.94
2016	27.55	2.29
2017	28.35	2.08
2018	28.71	1.90
2019	28.12	3.05
2020	28.42	3.73
2021	28.30	3.96
2022	28.76	3.99
2023	29.10	4.02
