 Wohnsitz der Gäste	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert
 VR China	1526	1894	3164	429
 Indien	2041	4760	4842	359
 Spanien	5309	13232	9358	1852
 Niederlande	7133	13946	14346	3060
 Italien	7867	14282	13188	3241
 Frankreich	7427	17521	20372	4463
 UK	5996	19617	36453	4809
 USA	4537	21846	86367	4750
 Deutschland	20321	65807	67232	26558
 Schweiz	56038	179726	226243	74623


