"Staatsangehörigkeit"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweiz"	99204.311691	6904.888309
"Deutschland"	13529.151167	112.454909
"Italien"	2550.489081	4266.490029
"Türkei"	2080.307799	3227.273338
"EU-17 + EFTA"	3435.420783	7689.661436
"EU-Ost"	751.607435	1614.617142
"Balkan"	3130.802805	3558.602073
"Mittel- und Südamerika"	443.216388	1018.994692
"Arabische Länder"	274.858788	529.295370
"Afrikanische Länder"	406.778534	699.019033
"Übrige Länder"	1257.075033	4316.884162

