"Jahr"	"Nutzung"	"Anteil"	"Anzahl"
2026	"Laden"	7.4222	20833
2026	"Büro"	38.0139	106700
2026	"Gewerbe"	19.2140	53931
2026	"Produktion"	9.3731	26309
2026	"Lager"	25.9768	72913

