Jahr,Sehr einverstanden,Eher einverstanden,Weiss nicht /<br/>keine Angabe,Eher nicht<br/>einverstanden,Überhaupt nicht<br/>einverstanden
2003<br/>(N=1497),15.6,22.8,10.6,29.6,21.4
2005<br/>(N=1510),11.9,23.6,9.7,31.9,22.8
2007<br/>(N=1509),10.5,25.5,11.1,32.9,19.9
2011<br/>(N=1516),20.5,24.2,6.3,28.4,20.6
2015<br/>(N=1506),14.5,32.4,10.5,31.2,11.4
