Jahr	Anteil Veranlagungen mit Zuwendungen
2008	17.62
2009	17.88
2010	18.73
2011	18.77
2012	18.90
2013	19.26
2014	19.34
2015	19.93
2016	20.11
2017	19.94
2018	19.99
2019	19.86
