Jahr	Mietwohnungen	Genossenschaftswohnungen	Selbstbewohnte Eigentümerwohnungen	Sonstige Wohnungen	gesamter Wohnungsbestand
2013	7728	590	840	57	9215
2014	7660	594	841	57	9152
2015	7526	625	837	56	9044
2016	7398	682	841	53	8974
2017	7318	684	829	48	8879
2018	7282	681	871	45	8879
2019	7259	680	868	56	8863
2020	7272	688	887	60	8907
2021	7249	832	866	59	9006
2022	7357	912	885	75	9229
2023	7280	931	894	144	9249
2024	7413	938	900	142	9393
