""	"BS"	"BL"	"AG"	"ZH"
"2015-1"	181546	43153	91309	270076
"2015-2"	109239	47948	120816	296941
"2015-3"	123362	75007	172440	352287
"2015-4"	82674	43636	110196	278685
"2016-1"	179077	32865	104567	251137
"2016-2"	106323	46103	126126	299060
"2016-3"	110742	69918	157528	337206
"2016-4"	81706	45061	107431	275898
"2017-1"	148190	39498	106150	267785
"2017-2"	116191	51990	122904	278829
"2017-3"	124398	69026	162459	347688
"2017-4"	91024	47494	129165	272989
"2018-1"	141010	39910	119274	261879
"2018-2"	107257	50076	150503	308845
"2018-3"	118467	69438	161875	357451
"2018-4"	89456	45053	107311	288144
"2019-1"	103242	34362	96571	264304
"2019-2"	101091	45566	136477	302212
"2019-3"	122786	72422	154848	346082
"2019-4"	97894	46432	109234	293014
"2020-1"	85623	39106	105005	260266
"2020-2"	68388	37236	96490	205576
"2020-3"	86207	63076	158955	335852
"2020-4"	70455	47900	105496	249523
"2021-1"	43332	39013	74043	155700
"2021-2"	63473	54004	122032	223521
"2021-3"	111127	82423	175542	363933
"2021-4"	89863	50316	112479	296090
"2022-1"	70531	43685	113222	256627
"2022-2"	88841	57239	153089	339081
"2022-3"	112836	85789	163212	407352
"2022-4"	93910	58103	124488	336898
"2023-1"	74638	46182	130817	298790
"2023-2"	94348	57156	156289	365425
"2023-3"	113511	83505	181315	416919
"2023-4"	96905	53377	137399	340699
"2024-1"	81519	45669	133736	286757
"2024-2"	97193	57784	179533	377264
"2024-3"	106804	79335	169039	419071
"2024-4"	90028	54916	138946	348268

