Wohnviertel_Id	Anteil Grünflächen	Rang	Wohnviertel	jahr_num
1	0.0668579057	1	Altstadt Grossbasel	2014
12	0.0809649461	2	Altstadt Kleinbasel	2014
16	0.1000477595	3	Rosental	2014
18	0.1186634144	4	Klybeck	2014
19	0.1554053483	5	Kleinhüningen	2014
13	0.159590892	6	Clara	2014
17	0.165298029	7	Matthäus	2014
6	0.1773290506	8	Gundeldingen	2014
2	0.1960120539	9	Vorstädte	2014
3	0.2397054857	10	Am Ring	2014
14	0.2653275562	11	Wettstein	2014
11	0.2714893465	12	St. Johann	2014
9	0.3233909016	13	Gotthelf	2014
5	0.3270115871	14	St. Alban	2014
4	0.3598092406	15	Breite	2014
10	0.3683075296	16	Iselin	2014
8	0.4159264686	17	Bachletten	2014
15	0.5880951331	18	Hirzbrunnen	2014
7	0.714828834	19	Bruderholz	2014
20	0.7966372996	20	Riehen	2014
30	0.902597363	21	Bettingen	2014
