JAHR	Klybeck	Kleinhüningen
2005		3
2006	1	3
2007	3	1
2009	3	
2010	4	
2011	3	
2013	4	
2014	6	
2015	5	
2016	6	
2017	2	
2018	2	3
2019	1	
2020	1	
2021	1	
2022	1	
2023	2	
2024	2	
