Jahr	Büros zu Wohnungen	(Dachstock-) Ausbauten	Saldo aus Zusammenlegungen/ Aufteilungen	Sonstige Umnutzungen	Zweckentfremdungen von Wohnungen	Umbausaldo
2008	0	1	-3	0	0	-2
2009	0	0	-26	0	0	-26
2010	0	2	-4	13	0	11
2011	0	2	0	0	0	2
2012	0	3	-22	0	0	-19
2013	0	4	-1	24	0	27
2014	0	6	-3	0	0	3
2015	0	1	0	0	0	1
2016	0	2	0	2	0	4
2017	0	3	0	0	-3	0
2018	0	0	-1	0	-4	-3
2019	0	4	0	0	-6	-2
2020	0	14	0	6	0	20
2021	0	0	5	0	0	5
2022	1	13	0	0	0	14
2023	0	8	0	65	0	73
