"Jahr"	"Wohnfläche"	"Grenzwert Basel-Stadt"
2012	42	41.4
2013	42	41.4
2014	41.7	41.4
2015	41.4	41.4
2016	41.2	41.4
2017	41	41.4
2018	41	41.4
2019	41	41.4
2020	41.5	41.4
2021	41.4	41.4
2022	41.1	41.4
2023	41.2	41.4
