Jahr	Basel	Bern	Genf	Liestal	Zürich
2006	17355	11365	20862	17485	14686
2007	17355	11365	20862	17485	14687
2008	17936	11165	20862	18991	14534
2009	17936	11365	15614	15790	14534
2010	17936	11348	15599	9100	14534
2011	17936	8929	15519	12529	14534
2012	17936	8929	15519	12529	14516
2013	17936	8929	15519	12529	14501
2014	17936	8929	15519	12529	14501
2015	17936	8929	15523	12529	14501
2016	17936	8929	15523	12529	14500
2017	17936	8929	15523	12529	14501
2018	17936	8929	15523	12529	14501
2019	6407	8923	15508	12529	14501
2020	6407	8923	8259	10443	14501
