	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2011	648	750	124	14	33	48
2015	600	617	100	22	21	25
2019	595	622	72	24	15	39
2023	545	613	99	15	11	24

