Jahr	Anzahl von Umbau betroffene Wohnungen	Anzahl Leerkündigungen (Wohnungen) aufgrund Umbau	Anzahl Leerkündigungen (Wohnungen) aufgrund Abbruch
2014	2143	257	30
2015	1964	281	178
2016	1670	336	61
2017	1920	472	43
2018	1958	402	108
2019	2244	480	219
2020	2278	456	115
2021	2450	441	63
2022	2486	239	63
2023	1789	83	19
