Monat	 Inland Ø 2012-2021	 Ausland Ø 2012-2021	 Inland 2021	 Ausland 2021
Jan	14995.7	22579.8	5118	3675
Feb	15441.3	25088.5	6262	4144
Mrz	16204.1	26658.4	10199	5842
Apr	17389.6	26204.3	25137	6832
Mai	20210.8	31373.9	27206	9236
Jun	17622.6	34842.4	18031	11465
Jul	22986.8	36897.3	22802	26433
Aug	19188.7	38640.2	26559	35350
Sep	20356.5	35372.9	24225	29447
Okt	24062.6	32729.2	29597	26143
Nov	22836.3	28836.7	24788	21524
Dez	20632.4	28657.9	22557	18213
