Jahr	Anzahl Genossenschaftswohnungen	Anteil am Bestand (rechte Skala)	Gesamter Wohnungsbestand
2014	60	2.3952095808380	2505
2015	59	2.0109066121330	2934
2016	61	1.9753886010360	3088
2017	83	2.6808785529710	3096
2018	110	3.4257240734970	3211
2019	111	3.1223628691000	3555
2020	107	3.0056179775000	3560
2021	102	2.8531468531000	3575
2022	104	2.8872848417540	3602
2023	106	2.8835690968440	3676

