"Jahr"	"Schutzwaldpflege"	"Gefahrengrundlagen WaG"	"Grundangebot Schutzbauten WaG"	"Einzelprojekte WaG"	"Gefahrengrundlagen WBG"	"Grundangebot Schutzbauten WBG"	"Einzelprojekte WBG"
2008	0	32.68	0	0	56.25	252	897.25
2009	0	15	0	0	56.25	252	897.25
2010	0	5	0	0	56.25	252	897.25
2011	5	10.5	0	0	56.25	252	897.25
2012	0	8.42	0	0	57.74	648.67	0
2013	0	0	0	0	57.74	648.67	0
2014	14.33	0	0	0	57.74	648.67	0
2015	6.83	0	0	0	57.74	648.67	0
2016	0	0	0	0	78.13	796.25	0
2017	0	0	0	0	48	3431	0
2018	0	0	0	0	15.52	2952.68	527.41
2019	0	0	0	0	129.33	1419.47	745
2020	0	0	0	0	225	3050	0
2021	0	0	0	0	255	3980	0
2022	0	0	0	0	167.1	4785.39	0
2023	0	0	0	0	79.78	4273.38	0
2024	0	0	0	0	388.88	3439.85	0
