"Datum"	"Handel, Reparatur"	"Verkehr, Lagerei, Kommunikation"	"Gastgewerbe"
"2014-01"	121	71	92
"2014-02"	84	40	84
"2014-03"	106	65	99
"2014-04"	112	48	115
"2015-01"	79	60	103
"2015-02"	93	49	97
"2015-03"	96	57	97
"2015-04"	111	65	88
"2016-01"	103	70	77
"2016-02"	117	77	65
"2016-03"	148	47	76
"2016-04"	92	43	54
"2017-01"	92	50	51
"2017-02"	91	48	54
"2017-03"	101	35	63
"2017-04"	81	32	46
"2018-01"	101	97	58
"2018-02"	77	44	44
"2018-03"	106	51	36
"2018-04"	108	43	41
"2019-01"	101	94	45
"2019-02"	108	46	43
"2019-03"	137	55	27
"2019-04"	100	53	46
"2020-01"	129	88	43
"2020-02"	44	8	19
"2020-03"	66	46	27
"2020-04"	70	48	31
"2021-01"	69	22	25
"2021-02"	51	35	20
"2021-03"	63	74	46
"2021-04"	108	45	52
"2022-01"	99	62	54
"2022-02"	64	41	30
"2022-03"	74	50	45
"2022-04"	67	49	38
"2023-01"	130	134	79
"2023-02"	70	188	33
"2023-03"	96	48	46
"2023-04"	90	53	55

