Alter	Männer	Frauen
0-4	1.72	1.58
5-9	1.80	1.60
10-14	1.98	1.91
15-19	2.18	2.32
20-24	2.87	3.45
25-29	2.83	2.99
30-34	2.67	2.57
35-39	3.06	3.11
40-44	3.56	3.72
45-49	3.49	3.81
50-54	3.13	3.61
55-59	3.14	3.61
60-64	3.01	3.58
65-69	2.35	3.38
70-74	2.37	3.56
75-79	2.23	3.66
80-84	1.57	3.19
85-89	0.79	1.85
90-94	0.32	1.06
95 u.m.	0.06	0.31
