JAHR	Klybeck	Kleinhüningen	Stadt Basel
2003	32.37	34.42	35.33
2004	31.77	34.56	34.96
2005	31.00	34.22	34.39
2006	30.69	34.79	34.40
2007	31.60	35.72	34.54
2008	31.63	36.11	34.27
2009	32.13	35.24	34.04
2010	32.45	34.22	33.92
2011	31.93	34.23	33.28
2012	32.04	33.33	33.35
2013	32.33	33.39	33.29
2014	33.04	33.59	33.43
2015	34.14	34.83	33.45
2016	34.20	35.15	33.53
2017	34.20	35.16	33.69
2018	34.49	35.51	33.62
2019	34.42	37.88	33.55
2020	34.30	38.23	33.41
2021	34.55	38.27	33.39
2022	32.54	36.84	32.77
