Jahr,Schweiz,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO
2011,10.7,12.6,7.8,9.9,7.1,10.0,17.1
2012,9.6,11.5,12.7,10.2,7.0,10.4,10.5
2013,10.6,14.1,9.4,15.0,12.7,18.1,11.3
2014,11.3,13.9,12.0,9.1,5.1,19.8,14.0
2015,10.7,12.9,13.9,10.3,9.3,15.6,11.2
