Jahr	Winter (Dez/Jan/Feb)	Frühling (Mär/Apr/Mai)	Sommer (Jun/Jul/Aug)	Herbst (Sep/Okt/Nov)
1922	0.5	8.9	16.6	7.3
1923	2.5	9	17.1	9.6
1924	-0.3	9.1	16.2	9.4
1925	2.2	8.1	17.3	7.9
1926	3	9	16.4	10.7
1927	1	9.7	17	9.2
1928	2	8.3	18.6	9.8
1929	-2.9	8.3	18.1	11.1
1930	2.9	9.2	17.8	10.6
1931	0.9	8.5	17.3	8
1932	-0.7	7.5	17.9	10.5
1933	0.4	9.2	17.6	9.6
1934	-1.1	10.5	17.9	9.5
1935	2.5	8.2	18.6	10
1936	2.4	9.4	17	8.8
1937	3.1	9.6	18.1	9.1
1938	1.4	8.6	17.6	10.4
1939	1.2	7.8	17.4	9.7
1940	-2.1	9.5	16.6	9.7
1941	-1.7	7.7	17.7	8.7
1942	-2.8	9.7	17.6	10.7
1943	2.2	10.7	18.2	10
1944	1	8.9	18.4	9.2
1945	0.1	11.4	18.8	9.4
1946	1.7	10.4	17.9	9.4
1947	-1.9	11.2	20.6	11.2
1948	3.2	11	16.6	9.5
1949	1.3	9.5	18.8	11.4
1950	3	9.5	19.7	9.7
1951	1.5	8.7	17.4	10.2
1952	0.6	10.7	19.9	8.1
1953	-0.2	10.6	17.6	9.9
1954	0	8.7	16.6	10.3
1955	1.6	8.3	17.4	8.6
1956	-0.8	8.6	15.8	8.8
1957	2.3	9.7	17.5	9.1
1958	2.1	8	17.8	10
1959	1.9	10.7	18.6	9.6
1960	2.2	10.1	17.2	9.8
1961	2.8	10.4	17.4	11.2
1962	1.9	7.8	17.8	8.8
1963	-4.2	9.4	17.7	11.3
1964	-0.2	9.9	18.8	10.1
1965	0.5	8.8	17.1	9
1966	3.2	10	17	10.2
1967	3.1	9.5	17.9	10.7
1968	1	9.4	17	10.1
1969	0.9	9.1	17.1	10.5
1970	0.1	7.8	18.1	10.5
1971	0.3	9.7	18.2	9.4
1972	2.2	9.5	17	8.6
1973	0.4	8.8	18.4	9.8
1974	3.4	9.9	17.4	8.6
1975	4.4	8.9	17.9	10.2
1976	1.8	9.3	19.1	10.3
1977	2.6	9.6	17	10.4
1978	1.8	9.2	16.8	9.2
1979	1.2	9.3	17.5	10.5
1980	3.2	8.6	16.8	9.5
1981	0.1	11	17.5	10.3
1982	1.4	9.5	18.8	11.5
1983	2.9	9.5	20.3	10.1
1984	1.9	7.9	18	10.8
1985	-0.8	9.5	18.3	9.7
1986	0.4	8.9	18.2	10.7
1987	0.3	8.3	17.6	11.7
1988	3.8	10.1	18.2	10.2
1989	3.5	11	18.3	10
1990	4.2	10.7	18.3	10.6
1991	1.2	9.4	19	10.6
1992	1.4	10.9	19.5	10.5
1993	2.6	10.9	18.2	8.5
1994	4.3	11	20.3	11.2
1995	4.5	9.7	18.9	10.7
1996	1	9.3	18.1	9.5
1997	1.4	10.8	18.7	10.5
1998	3.8	10.8	18.8	9.4
1999	2.2	11	18.5	10.4
2000	3.5	11.4	18.6	11.6
2001	4.2	10.8	18.8	10.3
2002	4.2	10.6	18.9	10.8
2003	2.2	11.5	22.8	9.8
2004	2.6	9.8	18.9	11.2
2005	1.4	10.7	18.8	11.3
2006	0.3	9.6	19.6	13.2
2007	5.4	12.5	18.4	9.6
2008	3.766666667	10.6	18.86666667	10
2009	0.9	11.9	19.6	11.6
2010	1.4	9.8	19.4	10
2011	2.1	12.5	18.6	11.7
2012	2.3	11.3	19.4	10.9
2013	2	8.67	19.7	11.23333333
2014	4.7	11.6	18.7	12.7
2015	2.933333333	11.3	21.16666667	11.2
2016	4.933333333	9.833333333	19.7	11.2
2017	1.7	11.83333333	20.86666667	10.76666667
2018	3.233333333	11.96666667	21.3	11.9
2019	3.966666667	10.2	20.86666667	11.66666667
2020	5.466666667	11.86666667	20.2	11.6
