"CityDescr"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	194128	194944	74175	28110
Bern	197299	139384		
Genf	193131	237548		93792
Lausanne	130904	163392		
Zürich	536980	522362		
