Land,Ausland,Deutschland,Italien,Spanien,Türkei,Ehem. Jugoslawien ohne SLO,Maghreb und Ägypten,EU-Oststaaten,Mittel- und Südamerika
2006,19.4371122004731,4.19478387743936,11.7082308863131,8.59872611464968,34.3028563975479,34.179873973649,19.3548387096774,15.6017830609212,25.2495596007046
2007,34.479232355598,5.42228064410122,10.837798343887,9.17119565217391,64.3387407203739,89.9210499333538,21.2314225053079,22.4422442244224,40.3508771929825
2008,29.9437098224694,9.25438266496125,13.0735076467686,9.35226879113266,58.3273766976412,76.6379592281696,59.5482546201232,18.096906012843,26.2569832402235
2009,19.1157157449292,11.417295087744,7.34470309971368,10.0974930362117,40.2694391565383,45.181746121617,37.037037037037,8.39454354669465,15.8814187400741
2010,13.954162106483,10.6109993758236,5.40540540540541,10.4022191400832,23.1973995271868,29.3376117350447,11.8577075098814,5.50550550550551,18.1441161223432
2011,13.0275372493954,10.4131676184078,8.25412706353177,5.39629005059022,19.0391194407259,20.706315426205,21.1946050096339,12.0898100172712,20.9205020920502
2012,13.2464480290567,9.89106462607766,8.78403814782281,9.35182199290552,23.3047662005713,19.0619223659889,15.0375939849624,6.53092585478294,19.4513715710723
2013,15.4843675982946,12.5933138591366,7.26600985221675,10.0890207715134,27.1253220184876,30.2745834311195,27.2727272727273,6.10583446404342,20.3574975173784
2014,14.2630744849445,14.7887323943662,11.1650485436893,7.2483969891274,16.2352580793383,25.1274149579234,45.2830188679245,6.82805710738672,22.794846382557
2015,16.7847442769483,17.2632647880173,11.6839315827511,13.892672296377,24.7183979974969,27.8980278980279,35.3356890459364,6.97269029633934,21.3611525086935
