"Land"	"Anzahl"
"Polen"	1097
"Ungarn"	908
"Rumänien"	882
"Kroatien"	835
"Slowakei"	576
"Bulgarien"	476
"Tschechien"	276
"Slowenien"	264
"Litauen"	178
"Lettland"	89
"Estland"	48

