"Staatsangehörigkeit"	"Personen pro Wohnung"
"Schweiz"	1.88
"Deutschland"	1.82
"Italien"	1.91
"Türkei"	2.46
"EU-West + EFTA + UK"	2.03
"EU-Ost"	2.01
"Balkan"	2.76
"Mittel- und Südamerika"	2.11
"Arabische Länder"	2.47
"Afrikanische Länder"	2.34
"Übrige Länder"	2.32

