Antwort,Sehr gerne,Eher gerne,Eher ungern,Ganz ungern,Weiss nicht / keine Angabe
2003 (N=1265),65.8,27.8,4.4,1.6,0.4
2005 (N=1312),61.5,29.5,7.7,1,0.3
2007 (N=1304),62.1,31,5.7,0.9,0.3
2011 (N=1285),68.8,26,4.2,1,0
2015 (N=1276),68.3,28.7,2.1,0.7,0.2
