"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	39574	""	""	""
"1986"	39860	""	""	""
"1987"	39966	""	""	""
"1988"	39908	""	""	""
"1989"	40045	""	""	""
"1990"	39934	""	""	""
"1991"	39990	""	""	""
"1992"	39953	""	""	""
"1993"	40018	""	""	""
"1994"	40224	""	""	""
"1995"	40240	""	""	""
"1996"	40171	""	""	""
"1997"	39990	""	""	""
"1998"	39644	""	""	""
"1999"	39533	""	""	""
"2000"	39401	""	""	""
"2001"	39248	""	""	""
"2002"	38904	""	""	""
"2003"	38609	""	""	""
"2004"	38635	""	""	""
"2005"	38468	""	""	""
"2006"	38456	""	""	""
"2007"	38636	""	""	""
"2008"	38708	""	""	""
"2009"	38599	""	""	""
"2010"	38526	""	""	""
"2011"	38695	""	""	""
"2012"	38766	""	""	""
"2013"	38919	""	""	""
"2014"	38980	""	""	""
"2015"	38911	""	""	""
"2016"	38872	""	""	""
"2017"	38824	""	""	""
"2018"	38844	""	""	""
"2019"	38895	""	""	""
"2020"	38800	""	""	""
"2021"	38937	""	""	""
"2022"	""	39217	39118	39014
"2023"	""	39551	39351	39142
"2024"	""	39961	39660	39346
"2025"	""	40528	40125	39699
"2026"	""	41004	40492	39955
"2027"	""	41521	40896	40245
"2028"	""	42089	41347	40578
"2029"	""	42745	41881	40989
"2030"	""	43341	42350	41328
"2031"	""	43941	42818	41662
"2032"	""	44393	43131	41835
"2033"	""	44842	43436	41996
"2034"	""	45251	43697	42105
"2035"	""	45569	43858	42109
"2036"	""	45884	44011	42099
"2037"	""	46182	44141	42060
"2038"	""	46503	44289	42032
"2039"	""	46892	44497	42058
"2040"	""	47249	44668	42043
"2041"	""	47678	44904	42084
"2042"	""	48114	45141	42121
"2043"	""	48534	45355	42129
"2044"	""	48966	45574	42136
"2045"	""	49494	45884	42230

