wohnviertel_id	Anteil Grünflächen	Rang	Wohnviertel	jahr_num
1	0.067259476	1	Altstadt Grossbasel	2018
12	0.0809475552	2	Altstadt Kleinbasel	2018
18	0.1199746955	3	Klybeck	2018
16	0.1400398587	4	Rosental	2018
13	0.1596210671	5	Clara	2018
17	0.1653432841	6	Matthäus	2018
6	0.1759519674	7	Gundeldingen	2018
2	0.1947071744	8	Vorstädte	2018
19	0.2255022919	9	Kleinhüningen	2018
3	0.2415029502	10	Am Ring	2018
14	0.2792035016	11	Wettstein	2018
11	0.2842565586	12	St. Johann	2018
9	0.322336817	13	Gotthelf	2018
5	0.3251612185	14	St. Alban	2018
4	0.3599290089	15	Breite	2018
10	0.3676661667	16	Iselin	2018
8	0.4134473173	17	Bachletten	2018
15	0.5926365548	18	Hirzbrunnen	2018
7	0.7130779141	19	Bruderholz	2018
20	0.7962272279	20	Riehen	2018
30	0.9017231209	21	Bettingen	2018
