"Jahr"	"Nutzung"	"Anteil"	"Anzahl"
2026	"Laden"	9.2118	21233
2026	"Büro"	54.0948	124688
2026	"Gewerbe"	25.9966	59922
2026	"Produktion"	0.6343	1462
2026	"Lager"	10.0625	23194

