"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	24.33	38.51	24	17.49	16.07
Bern	18.59	24.52	15.92		
Genf	31.35	49.2	35.17		18.37
Lausanne	34.54	41.87	31.1		
Zürich	28.69	32.95	26.91		
