"Staatsangehörigkeit"	"Mittelwert 2010"	"Mittelwert 2019"
"Schweiz"	462162	659389
"Deutschland"	220726	256479
"Italien"	72718	150244
"Türkei"	7334	18960
"EU-West + EFTA + UK"	170874	296585
"EU-Ost"	27390	88992
"Balkan"	9663	15916
"Mittel- und Südamerika"	34118	62570
"Arabische Länder"	10262	31045
"Afrikanische Länder"	17447	20426
"Übrige Länder"	144951	374445

