Jahr	 Weiss nicht/Keine Angabe	 Sehr unzufrieden	 Eher unzufrieden	 Eher zufrieden	 Sehr zufrieden
2003	10	41	208	620	616
2005	10	47	216	672	564
2007	5	31	213	720	536
2011	6	22	143	603	742
2015	7	14	110	626	747
