Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	18	4.6035805627
02	Vorstädte	21	4.5751633987
03	Am Ring	70	6.1782877317
04	Breite	71	10.773899848
05	St. Alban	194	17.183348096
06	Gundeldingen	152	10.849393291
07	Bruderholz	351	16.80229775
08	Bachletten	381	15.325824618
09	Gotthelf	67	6.8930041152
10	Iselin	67	4.6495489244
11	St. Johann	46	3.0625832224
12	Altstadt Kleinbasel	13	5.1587301587
13	Clara	15	6.5789473684
14	Wettstein	66	9.649122807
15	Hirzbrunnen	147	9.2861655085
16	Rosental	19	6.2295081967
17	Matthäus	43	3.7918871252
18	Klybeck	16	3.7470725995
19	Kleinhüningen	15	9.4339622642
20	Riehen	521	12.404761905
30	Bettingen	77	24.367088608
