"CityDescr"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	173863	381663	212723	99169
Bern	134794	288737		
Genf	203856	402892		337562
Lausanne	140202	293474		
Zürich	421878	992467		
