	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2009	1115	1040	265	70	19	133
2013	608.56519	823.21789	246.60777	88.54778	16.44497	118.75309
2017	688.64175	501.18767	118.14355	40.22848	5.11181	65.70417
2022	696.33062	548.93858	122.80313	35.30366	5.9274	76.85692
