"Branche"	"2021"	"2022"	"2023"
"Industrie (exkl. Chemie, Pharma)"	0.054	0.040	0.038
"Chemie, Pharma"	0.020	0.017	0.018
"Baugewerbe"	0.120	0.101	0.107
"Handel, Reparatur"	0.047	0.038	0.035
"Verkehr, Lagerei"	0.061	0.051	0.050
"Gastgewerbe"	0.119	0.078	0.081
"Information, Kommunikation"	0.042	0.032	0.036
"Finanz-, Versicherungs-DL"	0.043	0.034	0.031
"Beratung, Planung, Forschung, Immobilien"	0.037	0.027	0.029
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.087	0.074	0.068
"Personalvermittlung, -überlassung"	0.020	0.008	0.014
"Öffentliche Verwaltung, Sozialversicherungen"	0.008	0.008	0.007
"Erziehung, Unterricht"	0.029	0.025	0.023
"Gesundheits-, Sozialwesen"	0.027	0.023	0.022
"Kultur, Unterhaltung, pers. DL"	0.035	0.027	0.025
"Total"	0.039	0.031	0.031

