"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	77.52	74.92	77.72	80.68	74.96
Bern	82.86	82.53	83.03		
Genf	72.44	68.54	70.21		77.18
Lausanne	74.98	72.82	76.07		
Zürich	80.73	81.15	80.54		
