wohnviertel_id	Sesshaftigkeit	Rang	Wohnviertel	jahr_num
16	0.1888569187	1	Rosental	2020
2	0.2800554565	2	Vorstädte	2020
12	0.2850041425	3	Altstadt Kleinbasel	2020
3	0.2936858861	4	Am Ring	2020
1	0.3018867925	5	Altstadt Grossbasel	2020
17	0.3063028192	6	Matthäus	2020
6	0.316644615	7	Gundeldingen	2020
11	0.3206251352	8	St. Johann	2020
5	0.3244971019	9	St. Alban	2020
13	0.3316100443	10	Clara	2020
4	0.3335543034	11	Breite	2020
10	0.3367592647	12	Iselin	2020
18	0.3430379747	13	Klybeck	2020
14	0.3473064265	14	Wettstein	2020
9	0.3738468297	15	Gotthelf	2020
19	0.3823424706	16	Kleinhüningen	2020
15	0.395656381	17	Hirzbrunnen	2020
8	0.4145949108	18	Bachletten	2020
20	0.421144806	19	Riehen	2020
30	0.4270042194	20	Bettingen	2020
7	0.4299777707	21	Bruderholz	2020
