"Jahr"	"Schlacke"	"E-Filterstaub/Filterkuchen"
2006	24251.5	4109.2
2007	24785.6	4391.4
2008	25859	4569.8
2009	25674.5	4392.5
2010	25389.1	4481.4
2011	25186.9	4723.5
2012	25958.8	4983.5
2013	25005.7	4730
2014	26318.6	4856.8
2015	26181.1	4758.4
2016	28916.7	4263.5
2017	26999.7	4006.8
2018	28007	3695.9
2019	26343.4	3320.3
2020	26942.6	3439.6
2021	27442.6	2688.7
2022	27557.5	2701.3
2023	27981.2	2918.3
