"Alter"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"65 Jahre u.m."	2018.838567	3688.361433
"40-64 Jahre"	11394.432893	14336.466804
"25-39 Jahre"	10796.724535	12328.375768
"15-24 Jahre"	3301.696148	1634.503852

