Klassen	Veranlagungen	Summe Gesamtsteuer
0	1353	0
1 bis 4 999	7495	7297629
5 000 bis 9 999	865	6136142
10 000 bis 19 999	755	10799635
20 000 bis 49 999	707	22236894
50 000 bis 99 999	305	20911345
100 000 bis 999 999	401	105955483
1 Mio. u.m.	68	586349873





