"jahr"	"Haushalte"	"Nicht-Wohnen (ohne Verkehr)"	"Verkehr"	"Tonnen pro Kopf (rechte Skala)"	"Bevölkerung"
2012	246864.8923	385152.1723	201350.29601	4.3202040467	192900
2014	199418.86744	360696.65988	204406.94145	3.8989140926	196086
2016	190274.14488	347016.32325	204334.64087	3.7469817457	197926
2018	189586.64121	303332.98213	201597.45844	3.4748426667	199870
2020	194777.57184	280337.48479	155223.2	3.12780938371965	201527
2022	271872.29148	171573.00591	149944.89512	2.91408282198835	203628.4583
