"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"
2003	18196
2004	20400
2005	18586
2006	21035
2007	23976
2008	18990
2009	17383
2010	16537
2011	14473
2012	14894
2013	15642
2014	18725
2015	17258
2016	16707
2017	13320
2018	19100
2019	15100
2020	16745
2021	16563
2022	14624.8
2023	13885.1
