Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2003: männlich	43	48	281	164	74	46	11	5	0	4
2003: weiblich	77	56	295	187	70	91	12	9	3	1
.										
2005: männlich	38	66	261	177	64	64	19	7	3	2
2005: weiblich	64	84	285	186	79	76	11	10	1	3
..										
2007: männlich	32	64	266	194	64	45	13	10	2	1
2007: weiblich	73	96	305	178	66	69	13	3	2	4
...										
2011: männlich	66	78	284	154	41	34	6	8	2	1
2011: weiblich	137	90	298	173	52	62	14	5	2	6
....										
2015: männlich	64	108	270	130	45	43	8	9	1	2
2015: weiblich	109	115	320	151	48	50	8	5	1	2
