"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	22.09	18.32	22.75	21.96	27.12
Bern	20.92	18.22	22.26		
Genf	29.04	21.38	30.98		31.36
Lausanne	24.79	20.56	27.09		
Zürich	23.17	19.72	24.79		
