"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	35.58	29.72	39.24	35.93	31.97
Bern	35	26.17	39.55		
Genf	25.06	24.03	27.61		23.07
Lausanne	25.22	21.67	27.03		
Zürich	27.4	21.18	30.3		
