"WohnviertelId"	"Wohnviertel_Name"	"2023"	"Differenz 2023 zu 2018"
1	Altstadt Grossbasel	0.2	0.2
2	Vorstädte	0.3	-0.1
3	Am Ring	0.8	-0.3
4	Breite	2.2	-0.2
5	St. Alban	1.3	-0.1
6	Gundeldingen	2.2	-0.3
7	Bruderholz	1.5	0.0
8	Bachletten	1.1	-0.3
9	Gotthelf	1.2	-0.3
10	Iselin	2.8	-0.3
11	St. Johann	3.3	-0.2
12	Altstadt Kleinbasel	0.7	-0.4
13	Clara	1.7	-0.6
14	Wettstein	1.1	-0.1
15	Hirzbrunnen	3.2	0.1
16	Rosental	3.6	0.3
17	Matthäus	2.6	-0.4
18	Klybeck	4.1	-0.8
19	Kleinhüningen	4.6	-0.5
20	Riehen	1.6	0.0
30	Bettingen	1.1	-0.4
