"Branche"	"Schweiz"	"Ausland"
"Baugewerbe"	18.3	81.7
"Sonst. wirtschaftl. DL"	30.9	69.1
"Gastgewerbe"	31.2	68.8
"Verkehr, Lagerei"	39.6	60.4
"Industrie und Energie"	44.6	55.4
"Handel, Reparatur"	46.3	53.7
"Freib., tech., wissens. DL"	47.5	52.5
"Banken, Versicherungen"	50.0	50.0
"Information, Kommunikation"	52.4	47.6
"Kultur, Unterhaltung, pers. DL"	54.3	45.7
"Bildung, Gesundheitswesen"	57.9	42.1

