	2009 (N=3 119)	 2013 (N=2 231)	 2017 (N=1 665)
Verzicht auf Luxusartikel 	73.3	71.9	71.6
Preisbewusst einkaufen	70.2	68.4	64.3
Alte Sachen länger nutzen	54.2	55.1	56.5
Reparaturen selber erledigen	51.0	51.5	50.7
Bei Ferien sparen	52.9	49.0	45.7
Weniger Freizeitakt. (Eltern)	45.0	42.5	40.8
Verzicht auf Sparen	38.2	37.3	36.3
Kleidung ausbessern	23.1	23.7	24.0
Verzicht auf Auto/ÖV-Abo 	19.7	21.8	21.7
Verzicht auf Kinderbetreuung	22.3	22.4	21.0
