"Jahr"	"Klasse 4 (Mineralische Abfälle)"	"Übrige Abfallklassen"
2006	25918	54756.5
2007	47044.2	66292
2008	51851.7	55802.5
2009	42250.7	50420
2010	44938.7	51555.4
2011	136369.9	49955.5
2012	113465.4	51061.2
2013	67974.7	50935.8
2014	156178.6	45259.7
2015	89219.7	43107.9
2016	79552.7	45979
2017	88072.2	39362.4
2018	129507.7	56829.1
2019	152223.6	41845.4
2020	88415.1	40457.1
2021	158871.9	40011
2022	145596.3	37662.8
2023	78813.5	41904.3
2024	83795	38815.2
