"Herkunft"	"Deutsch oder Schweizerdeutsch"	"Kein Deutsch"
"Schweizer/-innen seit Geburt"	73429.836077	1515.823185
"Eingebürgerte Schweizer/-innen"	23057.861878	5684.534604
"Ausländer/-innen"	27813.389673	30434.132834

