Jahr	C-Bew.	B-Bew.	Übrige
2011	57	16	14
2012	70	15	20
2013	66	20	12
2014	48	24	11
2015	53	14	6
2016	49	9	12
2017	43	21	9
2018	53	6	25
2019	49	21	19
2020	59	24	15
2021	52	17	23
2022	71	37	34
2023	80	33	78
