"Jahr"	"In der Luft stabile Stoffe in Kälte- und Wärmepumpenanlagen"	"Zielpfad (2036: 15% von 2017)"
2005	15959	
2006	54579	
2007	60080	
2008	66805	
2009	71940	
2010	76076	
2011	78630	
2012	81295	
2013	79322	
2014	87175	
2015	91089	
2016	96396	
2017	93905	93905
2018	95265	89704
2019	93080	85503
2020	93031	81302
2021	93573	77100.9
2022	92418	72899.9
2023		68698.9
