""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2015-01"	0.084876	205
"2015-02"	0.084876	201
"2015-03"	0.084876	211
"2015-04"	0.084876	209
"2015-05"	0.084876	203
"2015-06"	0.084876	201
"2015-07"	0.084876	196
"2015-08"	0.084876	188
"2015-09"	0.084876	189
"2015-10"	0.084876	191
"2015-11"	0.084876	200
"2015-12"	0.084876	224
"2016-01"	0.091756	229
"2016-02"	0.091756	243
"2016-03"	0.091756	223
"2016-04"	0.091756	223
"2016-05"	0.091756	221
"2016-06"	0.091756	217
"2016-07"	0.091756	201
"2016-08"	0.091756	195
"2016-09"	0.091756	203
"2016-10"	0.091756	205
"2016-11"	0.091756	225
"2016-12"	0.091756	229
"2017-01"	0.080628	222
"2017-02"	0.080628	222
"2017-03"	0.080628	212
"2017-04"	0.080628	202
"2017-05"	0.080628	184
"2017-06"	0.080628	182
"2017-07"	0.080628	180
"2017-08"	0.080628	175
"2017-09"	0.080628	176
"2017-10"	0.080628	186
"2017-11"	0.080628	178
"2017-12"	0.080628	178
"2018-01"	0.073784	184
"2018-02"	0.073784	176
"2018-03"	0.073784	208
"2018-04"	0.073784	206
"2018-05"	0.073784	186
"2018-06"	0.073784	186
"2018-07"	0.073784	167
"2018-08"	0.073784	169
"2018-09"	0.073784	154
"2018-10"	0.073784	149
"2018-11"	0.073784	156
"2018-12"	0.073784	161
"2019-01"	0.066728	171
"2019-02"	0.066728	170
"2019-03"	0.066728	174
"2019-04"	0.066728	170
"2019-05"	0.066728	168
"2019-06"	0.066728	156
"2019-07"	0.066728	136
"2019-08"	0.066728	137
"2019-09"	0.066728	140
"2019-10"	0.066728	147
"2019-11"	0.066728	162
"2019-12"	0.066728	170
"2020-01"	0.088175	168
"2020-02"	0.088175	162
"2020-03"	0.088175	187
"2020-04"	0.088175	212
"2020-05"	0.088175	223
"2020-06"	0.088175	219
"2020-07"	0.088175	205
"2020-08"	0.088175	214
"2020-09"	0.088175	224
"2020-10"	0.088175	224
"2020-11"	0.088175	234
"2020-12"	0.088175	240
"2021-01"	0.097302	257
"2021-02"	0.097302	248
"2021-03"	0.097302	239
"2021-04"	0.097302	252
"2021-05"	0.097302	254
"2021-06"	0.097302	243
"2021-07"	0.097302	230
"2021-08"	0.097302	226
"2021-09"	0.097302	204
"2021-10"	0.097302	208
"2021-11"	0.097302	205
"2021-12"	0.097302	206
"2022-01"	0.084244	220
"2022-02"	0.084244	228
"2022-03"	0.084244	208
"2022-04"	0.084244	212
"2022-05"	0.084244	205
"2022-06"	0.084244	198
"2022-07"	0.084244	190
"2022-08"	0.084244	194
"2022-09"	0.084244	189
"2022-10"	0.084244	192
"2022-11"	0.084244	184
"2022-12"	0.084244	180
"2023-01"	0.073397	190
"2023-02"	0.073397	186
"2023-03"	0.073397	174
"2023-04"	0.073397	167
"2023-05"	0.073397	170
"2023-06"	0.073397	171
"2023-07"	0.073397	171
"2023-08"	0.073397	173
"2023-09"	0.073397	168
"2023-10"	0.073397	169
"2023-11"	0.073397	170
"2023-12"	0.073397	182
"2024-01"	0.083577	195
"2024-02"	0.083577	197
"2024-03"	0.083577	188
"2024-04"	0.083577	196
"2024-05"	0.083577	196
"2024-06"	0.083577	191
"2024-07"	0.083577	198
"2024-08"	0.083577	203
"2024-09"	0.083577	198
"2024-10"	0.083577	197
"2024-11"	0.083577	200
"2024-12"	0.083577	222

