Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	587	690	116	15	80	0
2005	518	781	120	24	61	0
2007	493	808	126	10	62	0
2011	730.66057	628.75948	99.22860	9.94806	39.63887	1.97161
2015	612.87208	722.26286	93.26326	5.69308	63.94199	0
2019	782.71029	818.52726	159.94174	15.71914	160.99414	82.48374
2023	742.61987	823.54829	165.44701	15.02430	190.94999	47.22359
