	Maximales Platzangebot	Modul 1: Durchschnittliche Anzahl Buchungen pro Tag	Modul 2: Durchschnittliche Anzahl Buchungen pro Tag
2014	1779	769	628
2015	1937	835	800
2016	2085	939	888
2017	2329	1041	962
2018	2551	1170	1115
2019	2815	1295	1288
2020	3086	1446	1431
2021	3227	1529	1461
2022	3450	1730	1628
2023	3748	1859	1706
