"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	32.24	26.36	32.91	33.06	39.08
Bern	30.61	25.3	33.42		
Genf	37.64	27.01	38.95		43.2
Lausanne	33.85	29.4	36.16		
Zürich	30.99	25.82	33.43		
