Jahr	Siedlungsabfälle (linke skala; Hauskehricht und Sperrgut)	Wertstoffsammlungen (linke Skala)	Recyclingquote (rechte Skala)
2000	193.57068604326	132.3	40.6
2001	190.185160587626	130.2	40.6
2002	192.342026398011	125.8	39.5
2003	183.709533709534	124.8	40.4
2004	184.120426280218	127	40.8
2005	180.234228027874	131.7	42.2
2006	178.794954388907	131.9	42.4
2007	177.196652719665	131.7	42.6
2008	171.672836894436	141.7	45.2
2009	186.133982232198	135	42
2010	176.790868265033	133.1	42.9
2011	164.780355303007	128.8	43.9
2012	168.526179367548	136.1	44.7
2013	163.476406976446	128.5	44
2014	165.134175820813	127.1	43.5
2015	158.02972560089	124.2	44
2016	150.719270435326	122.642075015315	44.8644539750627
