"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	129422	""	""	""
"1986"	128012	""	""	""
"1987"	127095	""	""	""
"1988"	125780	""	""	""
"1989"	125110	""	""	""
"1990"	125598	""	""	""
"1991"	125964	""	""	""
"1992"	126101	""	""	""
"1993"	126215	""	""	""
"1994"	125225	""	""	""
"1995"	124214	""	""	""
"1996"	122768	""	""	""
"1997"	120764	""	""	""
"1998"	119218	""	""	""
"1999"	117604	""	""	""
"2000"	116354	""	""	""
"2001"	115941	""	""	""
"2002"	116958	""	""	""
"2003"	117341	""	""	""
"2004"	118101	""	""	""
"2005"	117615	""	""	""
"2006"	117844	""	""	""
"2007"	118261	""	""	""
"2008"	119592	""	""	""
"2009"	120528	""	""	""
"2010"	120755	""	""	""
"2011"	122188	""	""	""
"2012"	123197	""	""	""
"2013"	124702	""	""	""
"2014"	125439	""	""	""
"2015"	125793	""	""	""
"2016"	126461	""	""	""
"2017"	126862	""	""	""
"2018"	127596	""	""	""
"2019"	127991	""	""	""
"2020"	129037	""	""	""
"2021"	128339	""	""	""
"2022"	130042	""	""	""
"2023"	131030	""	""	""
"2024"	131541	""	""	""
"2025"	133559	""	""	""
"2026"	""	134661	134092	133037
"2027"	""	135856	134728	132586
"2028"	""	137020	135351	132124
"2029"	""	138150	135963	131673
"2030"	""	139316	136626	131310
"2031"	""	140465	137281	130978
"2032"	""	141795	138125	130871
"2033"	""	143015	138862	130683
"2034"	""	144277	139644	130563
"2035"	""	145608	140502	130528
"2036"	""	146961	141385	130527
"2037"	""	148301	142254	130515
"2038"	""	149574	143050	130434
"2039"	""	150754	143737	130248
"2040"	""	151960	144432	130080
"2041"	""	153185	145123	129918
"2042"	""	154259	145632	129585
"2043"	""	155397	146185	129306
"2044"	""	156473	146652	128949
"2045"	""	157484	147038	128516
"2046"	""	158522	147374	127974
"2047"	""	159555	147695	127416
"2048"	""	160607	148028	126870
"2049"	""	161665	148361	126325
"2050"	""	162739	148706	125795

